iter	RMSE
0	1561.356842
1	1503.70229
2	1445.276802
3	1391.260212
4	1341.563347
5	1295.023811
6	1252.084512
7	1215.129857
8	1173.39493
9	1135.70581
10	1099.587637
11	1067.325831
12	1037.156067
13	1014.123388
14	988.390172
15	964.2131802
16	941.8406918
17	918.6172208
18	893.1804367
19	872.6437392
20	853.4033632
21	837.8053803
22	818.9613746
23	803.3975159
24	787.3722596
25	775.9094172
26	764.0108059
27	748.4639834
28	738.3889412
29	724.3574858
30	712.3616932
31	699.4631627
32	687.0057872
33	676.4481466
34	666.3929886
35	655.239076
36	645.0879528
37	635.6322784
38	626.974432
39	618.8139712
40	609.6054667
41	599.9921532
42	591.2318881
43	583.6204982
44	575.9790941
45	567.746693
46	560.7181026
47	552.2189478
48	547.8777731
49	541.6818792
50	535.8470659
51	529.0189747
52	523.1960041
53	518.8227529
54	513.7704333
55	508.1816173
56	504.1997659
57	498.448301
58	494.7189973
59	491.6606669
60	487.5000853
61	484.4332579
62	479.8004139
63	475.5149508
64	471.1877769
65	467.9723723
66	464.3207277
67	460.0671991
68	457.337516
69	453.2408575
70	449.0147347
71	445.2829809
72	442.1893086
73	438.7244142
74	434.2680461
75	431.2135427
76	428.1013968
77	425.6981592
78	422.710063
79	420.1856938
80	417.6655016
81	415.1192699
82	412.7797516
83	410.8567235
84	408.9210748
85	407.5537293
86	404.497626
87	402.9058115
88	399.9860393
89	397.8264031
90	395.7799207
91	393.8096673
92	391.1633972
93	388.411359
94	386.2349547
95	384.1780046
96	382.4857953
97	381.466159
98	379.213059
99	377.943383
100	375.9495942
101	373.1441706
102	371.6351372
103	369.9838001
104	368.3883558
105	367.2122771
106	365.4393686
107	363.1857962
108	361.4025285
109	358.705084
110	357.8649393
111	356.3360987
112	355.7190862
113	354.0092261
114	353.3679899
115	352.4346233
116	350.9284147
117	349.7103623
118	348.3999265
119	347.805991
120	346.0331513
121	343.5529941
122	341.6618463
123	340.8211481
124	339.3101431
125	338.3441498
126	336.1594174
127	335.6010086
128	334.4753931
129	333.2272708
130	331.89083
131	330.7054479
132	329.801564
133	328.8576786
134	326.9847754
135	325.5072836
136	323.6534012
137	322.3444443
138	321.365521
139	320.2092075
140	318.3368403
141	317.2441603
142	316.8116797
143	315.3076824
144	313.9283022
145	313.1617047
146	312.0002135
147	309.6363522
148	308.3050809
149	307.4783823
150	306.4779631
151	305.2732677
152	303.7610228
153	302.7365782
154	301.1165026
155	300.2001953
156	299.4350436
157	298.1669591
158	296.8802618
159	296.0432599
160	295.3181952
161	294.504432
162	292.7083482
163	292.0574483
164	289.9406406
165	289.4264219
166	288.3624509
167	287.3286588
168	286.0786078
169	284.8888664
170	282.9572861
171	282.1695265
172	281.1246315
173	280.1363823
174	279.0871016
175	278.4238248
176	276.6189588
177	275.5675704
178	274.7384093
179	273.9205687
180	273.0405881
181	271.7129008
182	271.1099127
183	270.255081
184	269.4706705
185	268.7220176
186	268.128587
187	267.4744162
188	266.8978639
189	266.0753495
190	265.4352981
191	264.776721
192	263.8110059
193	263.2931518
194	262.5439732
195	261.2998222
196	261.0785801
197	260.5128245
198	259.3623974
199	258.6956383
200	257.9588545
201	257.4036932
202	256.9504863
203	256.2416184
204	255.640958
205	254.9954157
206	254.5251547
207	253.4210286
208	252.6211948
209	251.7528135
210	251.3270364
211	250.8972043
212	250.0745617
213	249.7343631
214	248.5108792
215	247.8212413
216	247.1440483
217	246.4703317
218	245.7312964
219	245.0645233
220	244.2161516
221	243.8450324
222	243.398852
223	242.9525079
224	242.1057893
225	241.6871339
226	241.3444246
227	240.7050943
228	240.3851723
229	239.9588315
230	239.4726971
231	238.573512
232	237.9599538
233	237.4419738
234	236.7188803
235	236.0007005
236	235.6294397
237	234.5741537
238	234.1533407
239	233.7060015
240	233.4529996
241	232.3057747
242	231.7867505
243	231.4584231
244	230.9822021
245	230.3164262
246	229.8206068
247	229.4376001
248	228.9010512
249	228.5630921
250	227.8377718
251	227.4929366
252	226.8898009
253	226.4638433
254	226.1607942
255	225.8267204
256	225.3837097
257	224.4561054
258	224.0570873
259	223.3554834
260	222.8938218
261	222.1844689
262	221.8375503
263	221.4479409
264	220.4847236
265	220.1261077
266	219.6057554
267	219.3525152
268	218.9315039
269	218.5546115
270	218.2452351
271	217.853345
272	216.8592857
273	216.283669
274	215.3696631
275	215.1726347
276	215.0260289
277	214.1676025
278	213.8702944
279	213.684235
280	213.0761162
281	212.6385087
282	212.4452858
283	211.9275887
284	211.43496
285	211.3108985
286	210.9463078
287	210.7629814
288	210.5085254
289	210.0718078
290	209.7456439
291	209.1942954
292	208.4406558
293	208.0876293
294	207.8813774
295	207.4890316
296	207.1264875
297	206.7241892
298	206.283869
299	205.9271735
300	205.6589283
301	204.915291
302	204.5014038
303	204.1814573
304	203.9377539
305	203.6676207
306	203.2765521
307	202.9433933
308	202.5143098
309	202.2159143
310	201.5330729
311	201.2839949
312	200.7566687
313	200.097612
314	199.7111854
315	199.4635846
316	199.2827407
317	198.9232192
318	198.3058703
319	197.8957558
320	197.529633
321	197.4125247
322	196.9976284
323	196.5160153
324	196.1494169
325	195.8509525
326	195.2091423
327	194.7500663
328	194.5954217
329	194.1125695
330	193.9718272
331	193.8783057
332	193.6475462
333	193.0265316
334	192.8466515
335	192.4869692
336	192.3766013
337	192.0247176
338	191.7315451
339	191.3154494
340	191.0906313
341	190.8529431
342	190.5462634
343	189.9905002
344	189.5079347
345	189.2172116
346	188.9115208
347	188.6966309
348	188.5429091
349	188.3165663
350	187.8577892
351	187.2905646
352	187.0919987
353	186.8811486
354	186.2573039
355	186.0558929
356	185.7739713
357	185.5704745
358	185.1533145
359	184.7998648
360	184.7401049
